Reference ROI,Target ROI,Eucledian Distance (mm),Phi (degrees),Theta (degrees),% of Target Overlap,Eucledian Distance (mm) 5th Percentile
GTV-N,GTV-P,15.1917,0,135,0,21.4221
GTV-N,Brainstem,47.6054,13.5527,-164.6237,0,55.8458
GTV-N,Cricoid_cartilage,46.9614,-23.5884,3.5763,0,51.5151
GTV-N,Cricopharyngeal_Muscle,49.0106,-28.8866,0,0,53.0547
GTV-N,Esophagus,69.3074,-30.1338,-10.1755,0,75.866
GTV-N,Extended_Oral_Cavity,24.3355,7.2123,27.646,0,33.9916
GTV-N,Genioglossus_M,29.3921,8.0445,32.0054,0,34.6643
GTV-N,Glottic_Area,53.8238,-23.4541,139.3987,0,56.0399
GTV-N,Hard_Palate,66.8795,26.3342,45,0,71.4837
GTV-N,Hyoid_bone,17.755,-3.1798,0,0,24.6038
GTV-N,IPC,30.8372,-15.0685,0,0,34.6704
GTV-N,Larynx,31.3251,-12.0279,16.5044,0,39.668
GTV-N,Lower_Lip,73.4623,3.0723,101.6115,0,77.1512
GTV-N,Lt_Ant_Digastric_M,31.8521,-9.4623,126.8699,0,37.8838
GTV-N,Lt_Anterior_Seg_Eyeball,111.2613,32.6502,95.8067,0,111.7239
GTV-N,Lt_Brachial_Plexus,22.7023,-36.0274,180,0,29.1988
GTV-N,Lt_Lateral_Pterygoid_M,37.5755,45,90,0,42.2781
GTV-N,Lt_Masseter_M,8.9618,14.7144,66.8014,0,19.3557
GTV-N,Lt_Mastoid,20.932,51.6712,-71.5651,0,22.4886
GTV-N,Lt_Medial_Pterygoid_M,7.7644,18.2008,99.4623,0,15.4488
GTV-N,Lt_Parotid_Gland,-3.3194,0,0,0.0060199,5.8229
GTV-N,Lt_Posterior_Seg_Eyeball,97.6033,38.3217,96.4831,0,101.2257
GTV-N,Lt_Sternocleidomastoid_M,-4.3673,0,0,0.031201,1.9531
GTV-N,Lt_Submandibular_Gland,9.9376,-5.7976,113.9625,0,13.9355
GTV-N,Lt_thyroid_lobe,56.5069,-44.4582,142.5946,0,62.3174
GTV-N,Mandible,2.684,45,90,0,18.2171
GTV-N,Manubrium,103.1281,-48.5784,35.5377,0,109.2247
GTV-N,MPC,26.4752,-6.5819,0,0,28.3638
GTV-N,Mylogeniohyoid_M,32.4624,0,43.7811,0,41.3255
GTV-N,Rt_Ant_Digastric_M,26.2403,0,45,0,31.8812
GTV-N,Rt_Anterior_Seg_Eyeball,107.9798,39.3769,81.5289,0,108.3471
GTV-N,Rt_Brachial_Plexus,20.2488,-23.3052,-21.0375,0,26.4285
GTV-N,Rt_Lateral_Pterygoid_M,40.4269,69.444,90,0,45
GTV-N,Rt_Masseter_M,11.2009,5.1111,116.5651,0,21.484
GTV-N,Rt_Mastoid,29.2865,32.6267,-129.8056,0,31.1944
GTV-N,Rt_Medial_Pterygoid_M,8.5255,15.7932,81.8699,0,15.5733
GTV-N,Rt_Parotid_Gland,0.97656,0,90,0,10.7422
GTV-N,Rt_Posterior_Seg_Eyeball,95.6407,47.3721,84.8056,0,98.8245
GTV-N,Rt_Sternocleidomastoid_M,-2.7621,0,0,0.0042964,5.5243
GTV-N,Rt_Submandibular_Gland,4.6378,14.0362,90,0,8.2607
GTV-N,Rt_thyroid_lobe,40.625,-43.1524,0,0,47.8851
GTV-N,Soft_Palate,33.4156,19.5833,18.4349,0,38.5876
GTV-N,SPC,21.3284,0,164.0546,0,26.1115
GTV-N,Spinal_Cord,32.4624,0,-173.0888,0,37.2703
GTV-N,Supraglottic_Larynx,25.5401,-6.8428,16.2602,0,31.4358
GTV-N,Thyroid_cartilage,22.3938,-14.7241,-3.0128,0,30.442
GTV-N,Tongue,26.5987,9.0057,146.3099,0,33.7162
GTV-N,Upper_Lip,79.17,7.407,74.1569,0,83.0545
GTV-P,Brainstem,47.421,15.539,-106.1443,0,55.9676
GTV-P,Cricoid_cartilage,35.0681,-80.9254,-116.5651,0,39.3005
GTV-P,Cricopharyngeal_Muscle,40.4387,-69.1846,-99.4623,0,44.1962
GTV-P,Esophagus,61.0791,-64.0017,-109.9831,0,66.7767
GTV-P,Extended_Oral_Cavity,-9.3441,0,0,0.042694,1.9531
GTV-P,Genioglossus_M,-9.3441,0,0,0.20193,-5.4856
GTV-P,Glottic_Area,35,-90,0,0,35
GTV-P,Hard_Palate,52.5,90,0,0,52.9778
GTV-P,Hyoid_bone,-1.9531,0,0,0.019749,1.4955
GTV-P,IPC,20.2134,-69.444,-90,0,23.0262
GTV-P,Larynx,15,-90,0,0,20.0476
